
# Curve 0 of 1, 480 points
# Curve title: "Exp. 1"
# x y type
 4.04664  3.22806  i
 4.13345  3.23834  i
 4.22025  3.24863  i
 4.4376  3.29023  i
 4.52463  3.3111  i
 4.61165  3.33198  i
 4.69868  3.35286  i
 4.76395  3.36852  i
 4.96021  3.43668  i
 5.04735  3.46286  i
 5.1346  3.49433  i
 5.22184  3.5258  i
 5.28723  3.54676  i
 5.48393  3.63611  i
 5.5714  3.67818  i
 5.65876  3.71495  i
 5.74623  3.75701  i
 5.81162  3.77797  i
 6.00954  3.92559  i
 5.98701  3.88329  i
 6.0969  3.96236  i
 6.1412  4.00988  i
 6.2068  4.04143  i
 6.36077  4.15743  i
 6.40484  4.19435  i
 6.44902  4.23658  i
 6.4932  4.2788  i
 6.53738  4.32102  i
 6.64817  4.44247  i
 6.71422  4.49521  i
 6.76591  4.55153  i
 6.8481  4.68545  i
 6.89272  4.74886  i
 6.93735  4.81227  i
 7.03501  4.99557  i
 7.00518  4.94977  i
 7.07335  5.10315  i
 7.0507  5.05556  i
 7.12649  5.22834  i
 7.09577  5.14016  i
 7.1656  5.37301  i
 7.16482  5.33592  i
 7.14218  5.28833  i
 7.18992  5.50006  i
 7.18925  5.46828  i
 7.23633  5.64823  i
 7.23544  5.60585  i
 7.23477  5.57407  i
 7.2854  5.92354  i
 7.28451  5.88116  i
 7.28362  5.83878  i
 7.28273  5.7964  i
 7.28184  5.75402  i
 7.3396  6.44252  i
 7.33804  6.36836  i
 7.33738  6.33657  i
 7.33448  6.19884  i
 7.33359  6.15646  i
 7.3327  6.11408  i
 7.33181  6.07171  i
 7.33114  6.03992  i
 7.41711  7.04088  i
 7.41578  6.97731  i
 7.41489  6.93493  i
 7.39068  6.81317  i
 7.38979  6.7708  i
 7.3889  6.72842  i
 7.38801  6.68604  i
 7.38712  6.64366  i
 7.38645  6.61188  i
 7.38401  6.49534  i
 7.45156  7.64999  i
 7.4712  7.55456  i
 7.46808  7.40624  i
 7.44555  7.36394  i
 7.44466  7.32156  i
 7.46541  7.2791  i
 7.46463  7.24202  i
 7.43976  7.08848  i
 7.52072  7.85106  i
 7.51983  7.80868  i
 7.51905  7.7716  i
 7.51805  7.72392  i
 7.51727  7.68684  i
 7.51516  7.58619  i
 7.51393  7.52792  i
 7.5348  7.49076  i
 7.53391  7.44838  i
 7.53302  7.40601  i
 7.53035  7.27887  i
 7.52946  7.23649  i
 7.55033  7.19933  i
 7.52768  7.15173  i
 7.56785  7.00325  i
 7.56696  6.96088  i
 7.56607  6.9185  i
 7.56518  6.87612  i
 7.56452  6.84433  i
 7.56162  6.7066  i
 7.56073  6.66423  i
 7.58138  6.61647  i
 7.58049  6.57409  i
 7.57959  6.53172  i
 7.57704  6.40988  i
 7.59779  6.36742  i
 7.5969  6.32504  i
 7.59601  6.28266  i
 7.59534  6.25088  i
 7.59289  6.13434  i
 7.592  6.09196  i
 7.59111  6.04958  i
 7.59022  6.0072  i
 7.58955  5.97542  i
 7.60875  5.8588  i
 7.60786  5.81642  i
 7.60697  5.77404  i
 7.60619  5.73696  i
 7.59785  5.33966  i
 7.59696  5.29729  i
 7.59607  5.25491  i
 7.59518  5.21253  i
 7.59428  5.17015  i
 7.59317  5.11718  i
 7.59228  5.0748  i
 7.5915  5.03772  i
 7.5905  4.99004  i
 7.56797  4.94774  i
 7.56707  4.90536  i
 7.56641  4.87358  i
 7.5846  4.70928  i
 7.5836  4.66161  i
 7.58282  4.62453  i
 7.5604  4.58752  i
 7.58126  4.55036  i
 7.55862  4.50277  i
 7.57915  4.44972  i
 7.57837  4.41263  i
 7.55595  4.37563  i
 7.57659  4.32788  i
 7.57559  4.2802  i
 7.5747  4.23782  i
 7.57381  4.19544  i
 7.62506  5.60445  i
 7.62417  5.56207  i
 7.62328  5.51969  i
 7.62238  5.47732  i
 7.62172  5.44553  i
 7.61599  4.14232  i
 7.61532  4.11053  i
 7.64186  4.34354  i
 7.63852  4.18462  i
 7.7019  4.11022  i
 7.70101  4.06784  i
 7.70034  4.03606  i
 7.79458  4.05691  i
 7.76483  4.01463  i
 7.87573  4.14138  i
 7.8532  4.09908  i
 7.97227  4.27171  i
 7.94245  4.2259  i
 8.05301  4.33676  i
 8.11806  4.34182  i
 8.26947  4.33598  i
 8.35572  4.31978  i
 8.44163  4.28768  i
 8.5059  4.25566  i
 8.65597  4.18625  i
 8.72035  4.15953  i
 8.7844  4.11692  i
 8.86998  4.06893  i
 9.04114  3.97296  i
 9.10552  3.94624  i
 9.14814  3.9143  i
 9.21219  3.87168  i
 9.29788  3.82899  i
 9.42586  3.73847  i
 9.49024  3.71175  i
 9.55407  3.65855  i
 9.63976  3.61586  i
 9.70403  3.58384  i
 9.85243  3.43497  i
 9.90383  3.47716  i
 9.98208  3.42391  i
 10.0244  3.37607  i
 10.074  3.33528  i
 10.1945  3.23242  i
 10.2367  3.17929  i
 10.2791  3.13676  i
 10.3213  3.08363  i
 10.4055  2.97208  i
 10.4262  2.92432  i
 10.4255  2.89254  i
 10.4681  2.8606  i
 10.4889  2.81814  i
 10.5099  2.78628  i
 10.5721  2.65891  i
 10.55  2.6378  i
 10.5927  2.60586  i
 10.6132  2.55281  i
 10.6337  2.49976  i
 10.6331  2.46797  i
 10.6958  2.36179  i
 10.6949  2.31942  i
 10.7154  2.26637  i
 10.7362  2.22391  i
 10.7571  2.19205  i
 10.7772  2.11781  i
 10.798  2.07535  i
 10.7971  2.03297  i
 10.8179  1.99052  i
 10.8171  1.95343  i
 10.8583  1.85263  i
