
# Curve 0 of 1, 332 points
# Curve title: "Exp."
# x y type
 19.1028  1.36172  i
 19.2376  1.38604  i
 19.3722  1.4007  i
 19.5067  1.39607  i
 19.6412  1.38661  i
 19.7757  1.37715  i
 19.9102  1.36286  i
 20.0446  1.33893  i
 20.1789  1.30535  i
 20.3132  1.27176  i
 20.4475  1.22853  i
 20.5818  1.19012  i
 20.7159  1.13242  i
 20.8502  1.08918  i
 20.9844  1.0363  i
 21.1187  0.997893  i
 21.2529  0.959485  i
 21.3872  0.916252  i
 21.5213  0.85372  i
 21.6553  0.767065  i
 21.7556  0.690011  i
 21.856  0.612958  i
 21.9227  0.531032  i
 21.9559  0.468358  i
 22.0227  0.400907  i
 22.0895  0.323806  i
 22.1563  0.266004  i
 22.156  0.217757  i
 22.2228  0.150305  i
 22.2559  0.0779818  i
 22.2889 -0.0136408  i
 22.3559 -0.0617932  i
 22.3555 -0.11969  i
 22.4223 -0.177492  i
 22.422 -0.225739  i
 22.4888 -0.293191  i
 22.5557 -0.350993  i
 22.5553 -0.39924  i
 22.6221 -0.466691  i
 22.689 -0.524493  i
 22.7895 -0.591897  i
 22.9238 -0.620656  i
 23.0585 -0.601167  i
 23.1936 -0.528606  i
 23.3289 -0.427097  i
 23.4641 -0.330412  i
 23.5992 -0.253026  i
 23.7343 -0.180465  i
 23.8691 -0.136853  i
 24.004 -0.0980648  i
 24.1388 -0.0544523  i
 24.2736 -0.0204892  i
 24.3747 -0.00104781  i
 24.8126  0.0815899  i
 24.9473  0.105904  i
 25.082  0.130217  i
 25.2168  0.159355  i
 25.3516  0.188494  i
 25.4864  0.222457  i
 25.6211  0.24677  i
 25.7558  0.266259  i
 25.8905  0.285748  i
 26.0252  0.300412  i
 26.1598  0.319901  i
 26.2945  0.334565  i
 26.4292  0.358879  i
 26.5639  0.378368  i
 26.6986  0.397857  i
 26.8334  0.42217  i
 26.9681  0.441659  i
 27.1028  0.465973  i
 27.2376  0.495111  i
 27.3722  0.5146  i
 27.507  0.543738  i
 27.6417  0.568052  i
 27.7764  0.587541  i
 27.9112  0.611854  i
 28.0458  0.626518  i
 28.1805  0.641182  i
 28.2814  0.641325  i
 28.4497  0.660861  i
 28.5843  0.661051  i
 28.7188  0.656416  i
 28.8534  0.651781  i
 28.988  0.656796  i
 29.1225  0.661811  i
 29.2571  0.662001  i
 29.3917  0.662191  i
 29.5262  0.66238  i
 29.6609  0.677045  i
 29.7955  0.682059  i
 29.8964  0.682202  i

