
# Curve 0 of 1, 1200 points
# Curve title: "Re ε_M"
# x y type
 16.6554  1.4509  i
 16.6826  1.45034  i
 16.7098  1.449  i
 16.737  1.44689  i
 16.7642  1.44394  i
 16.7914  1.44007  i
 16.8187  1.43523  i
 16.8459  1.42946  i
 16.8731  1.42288  i
 16.9003  1.41568  i
 16.9275  1.4081  i
 16.9547  1.40039  i
 16.9819  1.39277  i
 17.0091  1.38541  i
 17.0364  1.37842  i
 17.0636  1.37183  i
 17.0908  1.3656  i
 17.118  1.3596  i
 17.1452  1.35369  i
 17.1724  1.34771  i
 17.1996  1.3416  i
 17.2268  1.3354  i
 17.254  1.32924  i
 17.2813  1.3233  i
 17.3085  1.31771  i
 17.3357  1.31255  i
 17.3629  1.30778  i
 17.3901  1.30327  i
 17.4173  1.29887  i
 17.4445  1.29448  i
 17.4717  1.29007  i
 17.4989  1.28573  i
 17.5262  1.28167  i
 17.5534  1.27811  i
 17.5806  1.27529  i
 17.6078  1.27339  i
 17.635  1.27251  i
 17.6622  1.27268  i
 17.6894  1.27386  i
 17.7166  1.27596  i
 17.7438  1.2789  i
 17.7711  1.2826  i
 17.7983  1.28698  i
 17.8255  1.29201  i
 17.8527  1.29763  i
 17.8799  1.30379  i
 17.9071  1.31041  i
 17.9343  1.31743  i
 17.9615  1.32479  i
 17.9887  1.33245  i
 18.016  1.34043  i
 18.0432  1.34877  i
 18.0704  1.35751  i
 18.0976  1.36671  i
 18.1248  1.37639  i
 18.152  1.38652  i
 18.1792  1.39707  i
 18.2064  1.40798  i
 18.2337  1.41918  i
 18.2609  1.43061  i
 18.2881  1.4422  i
 18.3153  1.45385  i
 18.3425  1.46545  i
 18.3697  1.47681  i
 18.3969  1.48778  i
 18.4241  1.49817  i
 18.4513  1.50788  i
 18.4786  1.51684  i
 18.5058  1.52504  i
 18.533  1.53252  i
 18.5602  1.53935  i
 18.5874  1.54563  i
 18.6146  1.55142  i
 18.6418  1.55683  i
 18.669  1.56195  i
 18.6962  1.56687  i
 18.7235  1.57171  i
 18.7507  1.57656  i
 18.7779  1.58147  i
 18.8051  1.58644  i
 18.8323  1.59139  i
 18.8595  1.59615  i
 18.8867  1.60052  i
 18.9139  1.60427  i
 18.9411  1.60724  i
 18.9684  1.60935  i
 18.9956  1.61065  i
 19.0228  1.61134  i
 19.05  1.61169  i
 19.0772  1.61206  i
 19.1044  1.61279  i
 19.1316  1.6142  i
 19.1588  1.61651  i
 19.186  1.61987  i
 19.2133  1.62434  i
 19.2405  1.62992  i
 19.2677  1.63653  i
 19.2949  1.64406  i
 19.3221  1.65238  i
 19.3493  1.6613  i
 19.3765  1.67066  i
 19.4037  1.68028  i
 19.431  1.68998  i
 19.4582  1.69958  i
 19.4854  1.70888  i
 19.5126  1.71762  i
 19.5398  1.72557  i
 19.567  1.73248  i
 19.5942  1.73818  i
 19.6214  1.74262  i
 19.6486  1.74584  i
 19.6759  1.74799  i
 19.7031  1.74929  i
 19.7303  1.74997  i
 19.7575  1.75025  i
 19.7847  1.75024  i
 19.8119  1.75003  i
 19.8391  1.74961  i
 19.8663  1.74896  i
 19.8935  1.74807  i
 19.9208  1.74697  i
 19.948  1.74573  i
 19.9752  1.74443  i
 20.0024  1.7432  i
 20.0296  1.7421  i
 20.0568  1.74114  i
 20.084  1.74028  i
 20.1112  1.73934  i
 20.1384  1.73812  i
 20.1657  1.73633  i
 20.1929  1.73367  i
 20.2201  1.72986  i
 20.2473  1.72471  i
 20.2745  1.71813  i
 20.3017  1.71022  i
 20.3289  1.70126  i
 20.3561  1.69176  i
 20.3834  1.68235  i
 20.4106  1.6737  i
 20.4378  1.66642  i
 20.465  1.66097  i
 20.4922  1.65757  i
 20.5194  1.65627  i
 20.5466  1.65697  i
 20.5738  1.65951  i
 20.601  1.66373  i
 20.6283  1.66958  i
 20.6555  1.67709  i
 20.6827  1.6864  i
 20.7099  1.6977  i
 20.7371  1.71119  i
 20.7643  1.72703  i
 20.7915  1.74528  i
 20.8187  1.76594  i
 20.8459  1.78891  i
 20.8732  1.81403  i
 20.9004  1.84115  i
 20.9276  1.87007  i
 20.9548  1.90062  i
 20.982  1.93262  i
 21.0092  1.96588  i
 21.0364  2.00017  i
 21.0636  2.03529  i
 21.0908  2.07097  i
 21.1181  2.10699  i
 21.1453  2.14315  i
 21.1725  2.17932  i
 21.1997  2.21546  i
 21.2269  2.2516  i
 21.2541  2.28781  i
 21.2813  2.32418  i
 21.3085  2.36078  i
 21.3357  2.39767  i
 21.363  2.43487  i
 21.3902  2.47234  i
 21.4174  2.51  i
 21.4446  2.54766  i
 21.4718  2.585  i
 21.499  2.62153  i
 21.5262  2.65658  i
 21.5534  2.68931  i
 21.5807  2.71867  i
 21.6079  2.74344  i
 21.6351  2.76212  i
 21.6623  2.77295  i
 21.6895  2.77376  i
 21.7167  2.76193  i
 21.7439  2.73433  i
 21.7711  2.68728  i
 21.7983  2.61659  i
 21.8256  2.51768  i
 21.8528  2.38575  i
 21.88  2.21613  i
 21.9072  2.00481  i
 21.9344  1.74911  i
 21.9616  1.44865  i
 21.9888  1.10642  i
 22.016  0.729559  i
 22.0432  0.329621  i
 22.0705 -0.0781986  i
 22.0977 -0.476806  i
 22.1249 -0.849589  i
 22.1521 -1.18272  i
 22.1793 -1.46677  i
 22.2065 -1.69724  i
 22.2337 -1.87413  i
 22.2609 -2.00093  i
 22.2881 -2.08329  i
 22.3154 -2.12789  i
 22.3426 -2.14157  i
 22.3698 -2.13069  i
 22.397 -2.10086  i
 22.4242 -2.05678  i
 22.4514 -2.00228  i
 22.4786 -1.94035  i
 22.5058 -1.87329  i
 22.5331 -1.80283  i
 22.5603 -1.73021  i
 22.5875 -1.65639  i
 22.6147 -1.58207  i
 22.6419 -1.50786  i
 22.6691 -1.43425  i
 22.6963 -1.36168  i
 22.7235 -1.29054  i
 22.7507 -1.22118  i
 22.778 -1.15389  i
 22.8052 -1.08893  i
 22.8324 -1.02651  i
 22.8596 -0.96685  i
 22.8868 -0.910156  i
 22.914 -0.856665  i
 22.9412 -0.806639  i
 22.9684 -0.760369  i
 22.9956 -0.71815  i
 23.0229 -0.680237  i
 23.0501 -0.646785  i
 23.0773 -0.617781  i
 23.1045 -0.592976  i
 23.1317 -0.571871  i
 23.1589 -0.55376  i
 23.1861 -0.537855  i
 23.2133 -0.523463  i
 23.2405 -0.510144  i
 23.2678 -0.497814  i
 23.295 -0.486741  i
 23.3222 -0.477472  i
 23.3494 -0.47069  i
 23.3766 -0.467063  i
 23.4038 -0.467074  i
 23.431 -0.470873  i
 23.4582 -0.478159  i
 23.4854 -0.48812  i
 23.5127 -0.499472  i
 23.5399 -0.510617  i
 23.5671 -0.519885  i
 23.5943 -0.525819  i
 23.6215 -0.527393  i
 23.6487 -0.524121  i
 23.6759 -0.516029  i
 23.7031 -0.503545  i
 23.7304 -0.487346  i
 23.7576 -0.468218  i
 23.7848 -0.446952  i
 23.812 -0.424281  i
 23.8392 -0.400849  i
 23.8664 -0.377213  i
 23.8936 -0.353852  i
 23.9208 -0.331202  i
 23.948 -0.309684  i
 23.9753 -0.289725  i
 24.0025 -0.271781  i
 24.0297 -0.25632  i
 24.0569 -0.243795  i
 24.0841 -0.234593  i
 24.1113 -0.228957  i
 24.1385 -0.226916  i
 24.1657 -0.22822  i
 24.1929 -0.232324  i
 24.2202 -0.238418  i
 24.2474 -0.245523  i
 24.2746 -0.25263  i
 24.3018 -0.258832  i
 24.329 -0.263433  i
 24.3562 -0.265994  i
 24.3834 -0.266327  i
 24.4106 -0.264451  i
 24.4378 -0.260524  i
 24.4651 -0.254793  i
 24.4923 -0.247541  i
 24.5195 -0.239062  i
 24.5467 -0.229642  i
 24.5739 -0.219548  i
 24.6011 -0.209015  i
 24.6283 -0.198233  i
 24.6555 -0.187348  i
 24.6827 -0.176464  i
 24.71 -0.165646  i
 24.7372 -0.15494  i
 24.7644 -0.144382  i
 24.7916 -0.134008  i
 24.8188 -0.123853  i
 24.846 -0.113954  i
 24.8732 -0.104348  i
 24.9004 -0.0950762  i
 24.9277 -0.0861802  i
 24.9549 -0.0777052  i
 24.9821 -0.069695  i
 25.0093 -0.0621876  i
 25.0365 -0.0552095  i
 25.0637 -0.0487727  i
 25.0909 -0.0428732  i
 25.1181 -0.0374921  i
 25.1453 -0.0325963  i
 25.1726 -0.0281398  i
 25.1998 -0.0240657  i
 25.227 -0.0203093  i
 25.2542 -0.0168036  i
 25.2814 -0.0134836  i
 25.3086 -0.0102884  i
 25.3358 -0.00716082  i
 25.363 -0.00404299  i
 25.3902 -0.000871993  i
 25.4175  0.00242361  i
 25.4447  0.00592433  i
 25.4719  0.0097166  i
 25.4991  0.0138857  i
 25.5263  0.0185062  i
 25.5535  0.0236313  i
 25.5807  0.0292856  i
 25.6079  0.0354626  i
 25.6351  0.0421281  i
 25.6624  0.0492274  i
 25.6896  0.0566951  i
 25.7168  0.064463  i
 25.744  0.0724661  i
 25.7712  0.0806453  i
 25.7984  0.0889487  i
 25.8256  0.0973302  i
 25.8528  0.105749  i
 25.8801  0.11417  i
 25.9073  0.12256  i
 25.9345  0.130892  i
 25.9617  0.139142  i
 25.9889  0.147289  i
 26.0161  0.155317  i
 26.0433  0.163217  i
 26.0705  0.170986  i
 26.0977  0.178629  i
 26.125  0.186157  i
 26.1522  0.193587  i
 26.1794  0.200937  i
 26.2066  0.208223  i
 26.2338  0.215453  i
 26.261  0.222631  i
 26.2882  0.229749  i
 26.3154  0.236787  i
 26.3426  0.24371  i
 26.3699  0.250469  i
 26.3971  0.257  i
 26.4243  0.263229  i
 26.4515  0.26908  i
 26.4787  0.274483  i
 26.5059  0.279388  i
 26.5331  0.283776  i
 26.5603  0.287665  i
 26.5875  0.291109  i
 26.6148  0.294197  i
 26.642  0.297045  i
 26.6692  0.299778  i
 26.6964  0.302523  i
 26.7236  0.305393  i
 26.7508  0.308475  i
 26.778  0.311825  i
 26.8052  0.315461  i
 26.8324  0.319366  i
 26.8597  0.323493  i
 26.8869  0.327773  i
 26.9141  0.332125  i
 26.9413  0.336461  i
 26.9685  0.3407  i
 26.9957  0.344764  i
 27.0229  0.348583  i
 27.0501  0.352098  i
 27.0774  0.355266  i
 27.1046  0.358063  i
 27.1318  0.360497  i
 27.159  0.362608  i
 27.1862  0.364461  i
 27.2134  0.366141  i
 27.2406  0.367733  i
 27.2678  0.369316  i
 27.295  0.370944  i
 27.3223  0.372653  i
 27.3495  0.374461  i
 27.3767  0.376372  i
 27.4039  0.378384  i
 27.4311  0.380492  i
 27.4583  0.382685  i
 27.4855  0.384946  i
 27.5127  0.387249  i
 27.5399  0.389566  i
 27.5672  0.391854  i
 27.5944  0.394065  i
 27.6216  0.396138  i
 27.6488  0.398015  i
 27.676  0.399634  i
 27.7032  0.400943  i
 27.7304  0.40189  i
 27.7576  0.402426  i
 27.7848  0.40251  i
 27.8121  0.402124  i
 27.8393  0.401284  i
 27.8665  0.400058  i
 27.8937  0.398565  i
 27.9209  0.396963  i
 27.9481  0.395422  i
 27.9753  0.394103  i
 28.0025  0.393134  i
 28.0297  0.392599  i
 28.057  0.392532  i
 28.0842  0.392931  i
 28.1114  0.393759  i
 28.1386  0.394967  i
 28.1658  0.396502  i
 28.193  0.398311  i
 28.2202  0.40034  i
 28.2474  0.402532  i
 28.2747  0.404823  i
 28.3019  0.407142  i
